d,q,e,g
1,3,1,0
2,5,1,0
3,7,1,0
4,3,2,0
5,11,1,0
6,13,1,0
7,13,1,2
8,17,1,0
9,19,1,0
10,19,1,2
11,23,1,0
12,23,1,2
13,19,1,8
14,29,1,0
15,31,1,0
16,31,1,2
17,29,1,6
18,37,1,0
19,37,1,2
20,41,1,0
21,43,1,0
22,43,1,2
23,47,1,0
24,47,1,2
25,47,1,4
26,53,1,0
27,53,1,2
28,53,1,4
29,59,1,0
30,61,1,0
31,61,1,2
32,61,1,4
33,67,1,0
34,67,1,2
35,71,1,0
36,73,1,0
37,73,1,2
38,73,1,4
39,79,1,0
40,79,1,2
41,83,1,0
42,83,1,2
43,83,1,4
44,89,1,0
45,89,1,2
46,89,1,4
47,89,1,6
48,97,1,0
49,97,1,2
50,101,1,0
51,103,1,0
52,103,1,2
53,107,1,0
54,109,1,0
55,109,1,2
56,113,1,0
57,113,1,2
58,113,1,4
59,113,1,6
60,113,1,8
61,113,1,10
62,113,1,12
63,127,1,0
64,127,1,2
65,131,1,0
66,131,1,2
67,131,1,4
68,137,1,0
69,139,1,0
70,139,1,2
71,139,1,4
72,139,1,6
73,139,1,8
74,149,1,0
75,151,1,0
76,151,1,2
77,151,1,4
78,157,1,0
79,157,1,2
80,157,1,4
81,163,1,0
82,163,1,2
83,167,1,0
84,167,1,2
85,167,1,4
86,173,1,0
87,173,1,2
88,173,1,4
89,179,1,0
90,181,1,0
91,181,1,2
92,181,1,4
93,181,1,6
94,181,1,8
95,191,1,0
96,193,1,0
97,193,1,2
98,197,1,0
99,199,1,0
100,199,1,2
101,199,1,4
102,199,1,6
103,199,1,8
104,199,1,10
105,211,1,0
106,211,1,2
107,211,1,4
108,211,1,6
109,211,1,8
110,211,1,10
111,223,1,0
112,223,1,2
113,227,1,0
114,229,1,0
115,229,1,2
116,233,1,0
117,233,1,2
118,233,1,4
119,239,1,0
120,241,1,0
121,241,1,2
122,241,1,4
123,241,1,6
124,239,1,10
125,251,1,0
126,251,1,2
127,251,1,4
128,257,1,0
129,257,1,2
130,257,1,4
131,263,1,0
132,263,1,2
133,263,1,4
134,269,1,0
135,271,1,0
136,271,1,2
137,271,1,4
138,277,1,0
139,277,1,2
140,281,1,0
141,283,1,0
142,283,1,2
143,283,1,4
144,283,1,6
145,283,1,8
146,293,1,0
147,293,1,2
148,293,1,4
149,293,1,6
150,293,1,8
151,293,1,10
152,293,1,12
153,307,1,0
154,307,1,2
155,311,1,0
156,313,1,0
157,313,1,2
158,317,1,0
159,317,1,2
160,317,1,4
161,317,1,6
162,317,1,8
163,317,1,10
164,317,1,12
165,331,1,0
166,331,1,2
167,331,1,4
168,337,1,0
169,337,1,2
170,337,1,4
171,337,1,6
172,337,1,8
173,347,1,0
174,349,1,0
175,349,1,2
176,353,1,0
177,353,1,2
178,349,1,8
179,359,1,0
180,359,1,2
181,359,1,4
182,359,1,6
183,367,1,0
184,367,1,2
185,367,1,4
186,373,1,0
187,373,1,2
188,373,1,4
189,379,1,0
190,379,1,2
191,383,1,0
192,383,1,2
193,383,1,4
194,389,1,0
195,389,1,2
196,389,1,4
197,383,1,12
198,397,1,0
199,397,1,2
200,401,1,0
201,401,1,2
202,401,1,4
203,401,1,6
204,409,1,0
205,409,1,2
206,409,1,4
207,409,1,6
208,409,1,8
209,419,1,0
210,421,1,0
211,421,1,2
212,421,1,4
213,421,1,6
214,421,1,8
215,431,1,0
216,433,1,0
217,433,1,2
218,433,1,4
219,439,1,0
220,439,1,2
221,443,1,0
222,443,1,2
223,443,1,4
224,449,1,0
225,449,1,2
226,449,1,4
227,449,1,6
228,457,1,0
229,457,1,2
230,461,1,0
231,463,1,0
232,463,1,2
233,467,1,0
234,467,1,2
235,467,1,4
236,467,1,6
237,467,1,8
238,467,1,10
239,479,1,0
240,479,1,2
241,479,1,4
242,479,1,6
243,487,1,0
244,487,1,2
245,491,1,0
246,491,1,2
247,491,1,4
248,491,1,6
249,499,1,0
250,499,1,2
251,503,1,0
252,503,1,2
253,503,1,4
254,509,1,0
255,509,1,2
256,509,1,4
257,509,1,6
258,509,1,8
259,503,1,16
260,521,1,0
261,523,1,0
262,523,1,2
263,523,1,4
264,523,1,6
265,523,1,8
266,523,1,10
267,523,1,12
268,523,1,14
269,523,1,16
270,541,1,0
271,541,1,2
272,541,1,4
273,547,1,0
274,547,1,2
275,547,1,4
276,547,1,6
277,547,1,8
278,557,1,0
279,557,1,2
280,557,1,4
281,563,1,0
282,563,1,2
283,563,1,4
284,569,1,0
285,571,1,0
286,571,1,2
287,571,1,4
288,577,1,0
289,577,1,2
290,577,1,4
291,577,1,6
292,577,1,8
293,587,1,0
294,587,1,2
295,587,1,4
296,593,1,0
297,593,1,2
298,593,1,4
299,599,1,0
300,601,1,0
301,601,1,2
302,601,1,4
303,607,1,0
304,607,1,2
305,607,1,4
306,613,1,0
307,613,1,2
308,617,1,0
309,619,1,0
310,619,1,2
311,619,1,4
312,619,1,6
313,619,1,8
314,619,1,10
315,631,1,0
316,631,1,2
317,631,1,4
318,631,1,6
319,631,1,8
320,641,1,0
321,643,1,0
322,643,1,2
323,647,1,0
324,647,1,2
325,647,1,4
326,653,1,0
327,653,1,2
328,653,1,4
